UNIVERSITAS;PROGRAM STUDI;JENJANG;KEKETATAN;DAYA TAMPUNG 2024;PEMINAT;RATA-RATA;Column1
INSTITUT PERTANIAN BOGOR;AGRIBISNIS;S1;6,617647059;54;816;630,64;TRUE
INSTITUT PERTANIAN BOGOR;AGRONOMI DAN HORTIKULTURA;S1;12,7340824;68;534;621,06;TRUE
INSTITUT PERTANIAN BOGOR;AKTUARIA;S1;5,633802817;24;426;667,16;TRUE
INSTITUT PERTANIAN BOGOR;AKUNTANSI;D4;9,644087256;84;871;815,5;TRUE
INSTITUT PERTANIAN BOGOR;ANALISIS KIMIA;D4;16,47058824;42;255;724;TRUE
INSTITUT PERTANIAN BOGOR;ARSITEKTUR LANSEKAP;S1;6,681514477;30;449;642,13;TRUE
INSTITUT PERTANIAN BOGOR;BIOINFORMATIKA;S1;14,70588235;25;170;635,25;TRUE
INSTITUT PERTANIAN BOGOR;BIOKIMIA;S1;8,991825613;33;367;649,44;TRUE
INSTITUT PERTANIAN BOGOR;BIOLOGI;S1;11,0738255;33;298;626,39;TRUE
INSTITUT PERTANIAN BOGOR;BISNIS;S1;5,441640379;69;1268;636,97;TRUE
INSTITUT PERTANIAN BOGOR;EKONOMI PEMBANGUNAN;S1;7,959183673;39;490;636,29;TRUE
INSTITUT PERTANIAN BOGOR;EKONOMI SUMBERDAYA DAN LINGKUNGAN;S1;7,602339181;39;513;621,3;TRUE
INSTITUT PERTANIAN BOGOR;EKONOMI SYARIAH;S1;7,926829268;39;492;622,47;TRUE
INSTITUT PERTANIAN BOGOR;EKOWISATA;D4;12,71186441;30;236;716,03;TRUE
INSTITUT PERTANIAN BOGOR;EKOWISATA (KAMPUS SUKABUMI);D4;39,70588235;27;68;677,37;TRUE
INSTITUT PERTANIAN BOGOR;FISIKA;S1;18,18181818;36;198;619,09;TRUE
INSTITUT PERTANIAN BOGOR;ILMU DAN TEKNOLOGI KELAUTAN;S1;8,091286307;39;482;621,38;TRUE
INSTITUT PERTANIAN BOGOR;ILMU GIZI;S1;2,555366269;30;1174;650,77;TRUE
INSTITUT PERTANIAN BOGOR;ILMU KELUARGA DAN KONSUMEN;S1;7,407407407;36;486;610,1;TRUE
INSTITUT PERTANIAN BOGOR;ILMU KOMPUTER;S1;3,899082569;51;1308;663,79;TRUE
INSTITUT PERTANIAN BOGOR;KEDOKTERAN;S1;1,334519573;15;1124;650,29;TRUE
INSTITUT PERTANIAN BOGOR;KEDOKTERAN HEWAN;S1;7,252747253;66;910;636,91;TRUE
INSTITUT PERTANIAN BOGOR;KIMIA;S1;12,72084806;36;283;643,41;TRUE
INSTITUT PERTANIAN BOGOR;KOMUNIKASI DAN PENGEMBANGAN MASYARAKAT;S1;4,723707665;53;1122;620,53;TRUE
INSTITUT PERTANIAN BOGOR;KOMUNIKASI DIGITAL DAN MEDIA;D4;6,471494607;84;1298;816,82;TRUE
INSTITUT PERTANIAN BOGOR;KOMUNIKASI DIGITAL DAN MEDIA (KAMPUS SUKABUMI);D4;19,7080292;27;137;687,19;TRUE
INSTITUT PERTANIAN BOGOR;KONSERVASI SUMBERDAYA HUTAN DAN EKOWISATA;S1;8,383233533;42;501;633,62;TRUE
INSTITUT PERTANIAN BOGOR;MANAJEMEN;S1;3,288672351;54;1642;641,34;TRUE
INSTITUT PERTANIAN BOGOR;MANAJEMEN AGRIBISNIS;D4;14,68531469;84;572;789,08;TRUE
INSTITUT PERTANIAN BOGOR;MANAJEMEN AGRIBISNIS (KAMPUS SUKABUMI);D4;25,47169811;27;106;686,47;TRUE
INSTITUT PERTANIAN BOGOR;MANAJEMEN HUTAN;S1;10,47381546;42;401;605,75;TRUE
INSTITUT PERTANIAN BOGOR;MANAJEMEN INDUSTRI;D4;9,633027523;42;436;773,89;TRUE
INSTITUT PERTANIAN BOGOR;MANAJEMEN INDUSTRI JASA MAKANAN DAN GIZI;D4;8,713692946;42;482;783,02;TRUE
